Rk,Player,Ft,In,Inches,Salary,Salary_M,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,MPG,PPG,FGAPG,RPG,APG,STLPG,BPG
1,Nate Robinson,5,9,69,2106720,2.107,2014-15,30,DEN,NBA,33,1,465,71,204,47,112,24,92,26,40,14,25,39,77,14,3,22,68,192,0.348,0.42,0.261,0.407,0.65,0.433,14.1,5.8,6.2,1.2,2.3,0.4,0.1
2,Isaiah Thomas,5,9,69,7238606,7.239,2014-15,25,PHO,NBA,46,1,1181,218,512,137,305,81,207,184,211,26,83,109,171,45,5,89,105,701,0.426,0.449,0.391,0.505,0.872,0.579,25.7,15.2,11.1,2.4,3.7,1,0.1
3,Shane Larkin,5,11,71,1606080,1.606,2014-15,22,NYK,NBA,50,14,1106,106,256,79,177,27,79,30,37,17,81,98,126,63,4,48,93,269,0.414,0.446,0.342,0.467,0.811,0.494,22.1,5.4,5.1,2,2.5,1.3,0.1
4,Ty Lawson,5,11,71,11595506,11.596,2014-15,27,DEN,NBA,51,51,1886,300,671,246,521,54,150,207,283,28,135,163,513,65,5,135,93,861,0.447,0.472,0.36,0.487,0.731,0.541,37,16.9,13.2,3.2,10.1,1.3,0.1
5,John Lucas,5,11,71,137382,0.137,2014-15,32,DET,NBA,7,0,94,16,36,10,23,6,13,0,0,2,2,4,26,3,0,3,8,38,0.444,0.435,0.462,0.528,,0.528,13.4,5.4,5.1,0.6,3.7,0.4,0
6,Phil Pressey,5,11,71,816482,0.816,2014-15,23,BOS,NBA,33,0,367,37,106,24,61,13,45,18,25,7,36,43,66,20,3,22,34,105,0.349,0.393,0.289,0.41,0.72,0.449,11.1,3.2,3.2,1.3,2,0.6,0.1
8,D.J. Augustin,6,0,72,3000000,3.000,2014-15,27,TOT,NBA,55,13,1310,192,470,141,317,51,153,151,174,13,90,103,267,33,2,110,63,586,0.409,0.445,0.333,0.463,0.868,0.536,23.8,10.7,8.5,1.9,4.9,0.6,0
9,Jose Barea,6,0,72,1310286,1.310,2014-15,30,DAL,NBA,56,8,974,161,388,118,262,43,126,57,69,19,87,106,190,26,1,50,79,422,0.415,0.45,0.341,0.47,0.826,0.504,17.4,7.5,6.9,1.9,3.4,0.5,0
10,Aaron Brooks,6,0,72,1145685,1.146,2014-15,30,CHI,NBA,56,1,1116,213,486,130,297,83,189,91,105,18,83,101,152,34,10,104,127,600,0.438,0.438,0.439,0.524,0.867,0.564,19.9,10.7,8.7,1.8,2.7,0.6,0.2
11,Isaiah Canaan,6,0,72,816482,0.816,2014-15,23,HOU,NBA,25,9,369,53,131,21,47,32,84,16,21,11,22,33,29,14,0,23,28,154,0.405,0.447,0.381,0.527,0.762,0.549,14.8,6.2,5.2,1.3,1.2,0.6,0
12,Will Cherry,6,0,72,25000,0.025,2014-15,23,CLE,NBA,8,0,69,5,19,3,10,2,9,3,6,1,4,5,8,6,1,4,10,15,0.263,0.3,0.222,0.316,0.5,0.347,8.6,1.9,2.4,0.6,1,0.8,0.1
13,Darren Collison,6,0,72,4797664,4.798,2014-15,27,SAC,NBA,45,45,1565,260,550,200,389,60,161,145,184,19,124,143,252,67,14,112,95,725,0.473,0.514,0.373,0.527,0.788,0.575,34.8,16.1,12.2,3.2,5.6,1.5,0.3
14,Kyle Lowry,6,0,72,12000000,12.000,2014-15,28,TOR,NBA,55,55,1920,351,838,254,541,97,297,210,263,46,210,256,395,84,11,143,168,1009,0.419,0.47,0.327,0.477,0.798,0.529,34.9,18.3,15.2,4.7,7.2,1.5,0.2
15,Patrick Mills,6,0,72,3842105,3.842,2014-15,26,SAS,NBA,24,0,454,73,186,37,86,36,100,23,27,14,30,44,36,12,2,21,37,205,0.392,0.43,0.36,0.489,0.852,0.518,18.9,8.5,7.8,1.8,1.5,0.5,0.1
16,Jameer Nelson,6,0,72,2732000,2.732,2014-15,32,TOT,NBA,41,26,982,114,316,55,140,59,176,19,27,20,86,106,185,32,2,75,95,306,0.361,0.393,0.335,0.454,0.704,0.467,24,7.5,7.7,2.6,4.5,0.8,0
17,Chris Paul,6,0,72,20068563,20.069,2014-15,29,LAC,NBA,56,56,1939,359,763,271,532,88,231,182,207,38,233,271,549,105,9,127,136,988,0.471,0.509,0.381,0.528,0.879,0.578,34.6,17.6,13.6,4.8,9.8,1.9,0.2
18,Ish Smith,6,0,72,981084,0.981,2014-15,26,OKC,NBA,30,0,155,15,45,14,40,1,5,6,9,5,22,27,28,4,1,9,12,37,0.333,0.35,0.2,0.344,0.667,0.378,5.2,1.2,1.5,0.9,0.9,0.1,0
19,Russ Smith,6,0,72,816482,0.816,2014-15,23,TOT,NBA,7,0,33,3,12,2,6,1,6,3,4,0,3,3,3,1,0,7,6,10,0.25,0.333,0.167,0.292,0.75,0.363,4.7,1.4,1.7,0.4,0.4,0.1,0
20,Sebastian Telfair,6,0,72,915243,0.915,2014-15,29,OKC,NBA,16,1,327,46,125,28,65,18,60,24,34,2,28,30,45,10,0,18,29,134,0.368,0.431,0.3,0.44,0.706,0.479,20.4,8.4,7.8,1.9,2.8,0.6,0
21,Patrick Beverley,6,1,73,915243,0.915,2014-15,26,HOU,NBA,43,42,1321,159,422,68,167,91,255,37,51,59,132,191,143,49,18,62,146,446,0.377,0.407,0.357,0.485,0.725,0.502,30.7,10.4,9.8,4.4,3.3,1.1,0.4
22,Eric Bledsoe,6,1,73,12173913,12.174,2014-15,25,PHO,NBA,55,55,1863,315,699,255,517,60,182,246,300,50,239,289,327,93,33,172,131,936,0.451,0.493,0.33,0.494,0.82,0.563,33.9,17,12.7,5.3,5.9,1.7,0.6
23,Trey Burke,6,1,73,2548560,2.549,2014-15,22,UTA,NBA,53,41,1668,258,699,173,427,85,272,73,93,22,115,137,245,43,11,89,86,674,0.369,0.405,0.313,0.43,0.785,0.455,31.5,12.7,13.2,2.6,4.6,0.8,0.2
24,Mario Chalmers,6,1,73,4000000,4.000,2014-15,28,MIA,NBA,54,35,1682,195,483,147,313,48,170,157,202,19,129,148,231,90,7,125,167,595,0.404,0.47,0.282,0.453,0.777,0.52,31.1,11,8.9,2.7,4.3,1.7,0.1
25,Mike Conley,6,1,73,8894216,8.894,2014-15,27,MEM,NBA,49,49,1552,294,646,215,449,79,197,159,185,21,135,156,260,59,6,112,100,826,0.455,0.479,0.401,0.516,0.859,0.568,31.7,16.9,13.2,3.2,5.3,1.2,0.1
26,Raymond Felton,6,1,73,3793693,3.794,2014-15,30,DAL,NBA,13,1,97,12,37,10,29,2,8,4,4,0,6,6,19,4,1,4,5,30,0.324,0.345,0.25,0.351,1,0.387,7.5,2.3,2.8,0.5,1.5,0.3,0.1
27,Tim Frazier,6,1,73,29843,0.030,2014-15,24,PHI,NBA,4,3,140,11,36,8,28,3,8,3,10,4,13,17,33,4,0,17,13,28,0.306,0.286,0.375,0.347,0.3,0.347,35,7,9,4.3,8.3,1,0
28,Brandon Jennings,6,1,73,8000000,8.000,2014-15,25,DET,NBA,41,41,1173,218,543,142,332,76,211,120,143,21,83,104,272,44,4,90,64,632,0.401,0.428,0.36,0.471,0.839,0.522,28.6,15.4,13.2,2.5,6.6,1.1,0.1
30,Shabazz Napier,6,1,73,1238640,1.239,2014-15,23,MIA,NBA,43,9,904,77,203,39,99,38,104,39,50,15,89,104,115,38,4,74,63,231,0.379,0.394,0.365,0.473,0.78,0.513,21,5.4,4.7,2.4,2.7,0.9,0.1
31,Jannero Pargo,6,1,73,1448490,1.448,2014-15,35,CHO,NBA,9,0,73,15,35,6,13,9,22,2,2,0,3,3,8,0,0,3,8,41,0.429,0.462,0.409,0.557,1,0.571,8.1,4.6,3.9,0.3,0.9,0,0
32,Brian Roberts,6,1,73,2732000,2.732,2014-15,29,CHO,NBA,53,10,1035,138,341,93,204,45,137,54,60,11,66,77,127,21,6,45,60,375,0.405,0.456,0.328,0.471,0.9,0.51,19.5,7.1,6.4,1.5,2.4,0.4,0.1
33,Rajon Rondo,6,1,73,12909091,12.909,2014-15,28,TOT,NBA,45,45,1360,177,436,156,371,21,65,19,61,54,218,272,383,69,6,142,104,394,0.406,0.42,0.323,0.43,0.311,0.426,30.2,8.8,9.7,6,8.5,1.5,0.1
34,Dennis Schroder,6,1,73,1690680,1.691,2014-15,21,ATL,NBA,53,5,958,174,392,151,317,23,75,77,98,14,90,104,186,40,1,92,82,448,0.444,0.476,0.307,0.473,0.786,0.515,18.1,8.5,7.4,2,3.5,0.8,0
35,Kemba Walker,6,1,73,3272091,3.272,2014-15,24,CHO,NBA,42,42,1495,278,696,212,490,66,206,167,203,29,129,158,220,58,24,70,68,789,0.399,0.433,0.32,0.447,0.823,0.502,35.6,18.8,16.6,3.8,5.2,1.4,0.6
36,Mo Williams,6,1,73,3750000,3.750,2014-15,32,TOT,NBA,42,20,1187,188,464,124,284,64,180,83,97,15,87,102,273,31,9,107,105,523,0.405,0.437,0.356,0.474,0.856,0.516,28.3,12.5,11,2.4,6.5,0.7,0.2
37,Avery Bradley,6,2,74,7191011,7.191,2014-15,24,BOS,NBA,51,51,1580,283,653,207,436,76,217,57,70,28,112,140,80,47,11,67,115,699,0.433,0.475,0.35,0.492,0.814,0.511,31,13.7,12.8,2.7,1.6,0.9,0.2
38,Norris Cole,6,2,74,2038206,2.038,2014-15,26,TOT,NBA,48,23,1178,122,315,94,210,28,105,35,50,12,102,114,168,43,8,59,79,307,0.387,0.448,0.267,0.432,0.7,0.455,24.5,6.4,6.6,2.4,3.5,0.9,0.2
39,Toney Douglas,6,2,74,125104,0.125,2014-15,28,NOP,NBA,3,0,66,9,22,6,15,3,7,6,10,1,6,7,12,4,2,5,5,27,0.409,0.4,0.429,0.477,0.6,0.511,22,9,7.3,2.3,4,1.3,0.7
40,Larry Drew,6,2,74,59686,0.060,2014-15,24,PHI,NBA,12,1,219,20,58,16,32,4,26,2,3,1,14,15,45,6,0,25,13,46,0.345,0.5,0.154,0.379,0.667,0.388,18.3,3.8,4.8,1.3,3.8,0.5,0
41,Tyler Ennis,6,2,74,1590720,1.591,2014-15,20,TOT,NBA,9,0,76,10,25,8,18,2,7,4,4,1,7,8,16,1,2,11,6,26,0.4,0.444,0.286,0.44,1,0.486,8.4,2.9,2.8,0.9,1.8,0.1,0.2
42,Jordan Farmar,6,2,74,2077000,2.077,2014-15,28,LAC,NBA,36,0,529,61,158,26,61,35,97,10,11,8,34,42,67,20,5,32,52,167,0.386,0.426,0.361,0.497,0.909,0.513,14.7,4.6,4.4,1.2,1.9,0.6,0.1
43,Jimmer Fredette,6,2,74,948163,0.948,2014-15,25,NOP,NBA,39,0,430,56,146,48,103,8,43,34,36,7,25,32,49,12,2,22,34,154,0.384,0.466,0.186,0.411,0.944,0.476,11,3.9,3.7,0.8,1.3,0.3,0.1
44,Langston Galloway,6,2,74,235762,0.236,2014-15,23,NYK,NBA,17,13,511,72,189,47,117,25,72,28,37,19,59,78,52,17,5,17,51,197,0.381,0.402,0.347,0.447,0.757,0.48,30.1,11.6,11.1,4.6,3.1,1,0.3
45,George Hill,6,2,74,8000000,8.000,2014-15,28,IND,NBA,16,9,381,77,169,53,108,24,61,40,53,8,46,54,61,11,5,21,29,218,0.456,0.491,0.393,0.527,0.755,0.567,23.8,13.6,10.6,3.4,3.8,0.7,0.3
46,Andre Miller,6,2,74,4625000,4.625,2014-15,38,TOT,NBA,53,0,676,82,152,81,144,1,8,30,41,23,59,82,150,14,2,51,58,195,0.539,0.563,0.125,0.543,0.732,0.573,12.8,3.7,2.9,1.5,2.8,0.3,0
47,Tony Parker,6,2,74,12500000,12.500,2014-15,32,SAS,NBA,41,41,1192,236,500,206,439,30,61,86,105,10,66,76,204,24,2,98,61,588,0.472,0.469,0.492,0.502,0.819,0.538,29.1,14.3,12.2,1.9,5,0.6,0
49,Ronnie Price,6,1,73,1316809,1.317,2014-15,31,LAL,NBA,42,20,964,77,220,46,112,31,108,33,41,18,47,65,160,63,4,50,112,218,0.35,0.411,0.287,0.42,0.805,0.458,23,5.2,5.2,1.5,3.8,1.5,0.1
50,Luke Ridnour,6,1,73,2750000,2.750,2014-15,33,ORL,NBA,32,0,452,52,114,40,80,12,34,13,15,5,49,54,68,8,0,26,42,129,0.456,0.5,0.353,0.509,0.867,0.535,14.1,4,3.6,1.7,2.1,0.3,0
51,Jeff Teague,6,1,73,8000000,8.000,2014-15,26,ATL,NBA,51,50,1599,299,643,246,484,53,159,211,243,18,110,128,380,86,25,138,99,862,0.465,0.508,0.333,0.506,0.868,0.575,31.4,16.9,12.6,2.5,7.5,1.7,0.5
52,Jason Terry,6,1,73,5850313,5.850,2014-15,37,HOU,NBA,52,4,1093,125,301,41,83,84,218,29,37,13,67,80,105,47,14,54,73,363,0.415,0.494,0.385,0.555,0.784,0.572,21,7,5.8,1.5,2,0.9,0.3
53,C.J. Watson,6,1,73,2106720,2.107,2014-15,30,IND,NBA,37,21,991,121,282,76,169,45,113,84,101,12,92,104,139,33,6,71,75,371,0.429,0.45,0.398,0.509,0.832,0.568,26.8,10,7.6,2.8,3.8,0.9,0.2
54,Louis Williams,6,1,73,5450000,5.450,2014-15,28,TOR,NBA,54,0,1328,247,615,145,319,102,296,233,271,17,82,99,99,66,6,63,71,829,0.402,0.455,0.345,0.485,0.86,0.565,24.6,15.4,11.4,1.8,1.8,1.2,0.1
55,Leandro Barbosa,6,2,74,1448490,1.448,2014-15,32,GSW,NBA,41,1,545,115,235,91,169,24,66,36,48,18,38,56,46,22,5,27,55,290,0.489,0.538,0.364,0.54,0.75,0.566,13.3,7.1,5.7,1.4,1.1,0.5,0.1
56,Jerryd Bayless,6,2,74,3000000,3.000,2014-15,26,MIL,NBA,53,2,1141,154,341,129,266,25,75,90,99,12,120,132,168,40,11,79,107,423,0.452,0.485,0.333,0.488,0.909,0.55,21.5,8,6.4,2.5,3.2,0.8,0.2
57,Steve Blake,6,2,74,2077000,2.077,2014-15,34,POR,NBA,54,0,1120,84,231,35,81,49,150,22,30,13,87,100,202,29,5,71,91,239,0.364,0.432,0.327,0.47,0.733,0.489,20.7,4.4,4.3,1.9,3.7,0.5,0.1
58,Markel Brown,6,2,74,507336,0.507,2014-15,23,BRK,NBA,18,0,110,14,38,10,25,4,13,14,18,0,13,13,7,3,1,8,6,46,0.368,0.4,0.308,0.421,0.778,0.501,6.1,2.6,2.1,0.7,0.4,0.2,0.1
59,Jose Calderon,6,2,74,7097191,7.097,2014-15,33,NYK,NBA,40,40,1206,144,338,86,202,58,136,27,30,19,101,120,189,30,0,68,69,373,0.426,0.426,0.426,0.512,0.9,0.531,30.2,9.3,8.5,3,4.7,0.8,0
60,Ian Clark,6,2,74,816482,0.816,2014-15,23,UTA,NBA,22,0,147,14,40,6,18,8,22,5,5,4,9,13,9,5,2,7,12,41,0.35,0.333,0.364,0.45,1,0.486,6.7,1.9,1.8,0.6,0.4,0.2,0.1
61,Stephen Curry,6,2,74,10629213,10.629,2014-15,26,GSW,NBA,52,52,1726,426,886,261,474,165,412,211,234,37,207,244,413,114,12,159,106,1228,0.481,0.551,0.4,0.574,0.902,0.621,33.2,23.6,17,4.7,7.9,2.2,0.2
62,Goran Dragic,6,2,74,7500000,7.500,2014-15,28,TOT,NBA,53,53,1768,344,690,277,500,67,190,100,136,52,136,188,212,51,9,115,124,855,0.499,0.554,0.353,0.547,0.735,0.57,33.4,16.1,13,3.5,4,1,0.2
63,Monta Ellis,6,2,74,8360000,8.360,2014-15,29,DAL,NBA,57,57,1919,435,968,366,755,69,213,167,217,26,108,134,255,112,16,143,140,1106,0.449,0.485,0.324,0.485,0.77,0.52,33.7,19.4,17,2.4,4.5,2,0.3
64,Ben Gordon,6,2,74,4500000,4.500,2014-15,31,ORL,NBA,47,0,681,108,249,78,169,30,80,49,57,5,47,52,41,14,1,42,50,295,0.434,0.462,0.375,0.494,0.86,0.538,14.5,6.3,5.3,1.1,0.9,0.3,0
65,Erick Green,6,2,74,507336,0.507,2014-15,23,DEN,NBA,19,0,133,26,59,23,46,3,13,3,4,1,5,6,13,3,0,6,8,58,0.441,0.5,0.231,0.466,0.75,0.477,7,3.1,3.1,0.3,0.7,0.2,0
66,Jorge Gutierrez,6,2,74,59686,0.060,2014-15,26,TOT,NBA,17,1,138,17,33,17,30,0,3,7,9,4,18,22,18,5,0,9,20,41,0.515,0.567,0,0.515,0.778,0.555,8.1,2.4,1.9,1.3,1.1,0.3,0
67,Devin Harris,6,2,74,3878000,3.878,2014-15,31,DAL,NBA,55,3,1246,159,396,83,181,76,215,86,107,10,99,109,183,54,13,59,107,480,0.402,0.459,0.353,0.497,0.804,0.542,22.7,8.7,7.2,2,3.3,1,0.2
68,Kirk Hinrich,6,2,74,2730000,2.730,2014-15,34,CHI,NBA,45,22,1207,107,290,62,158,45,132,33,45,16,69,85,109,38,9,53,105,292,0.369,0.392,0.341,0.447,0.733,0.471,26.8,6.5,6.4,1.9,2.4,0.8,0.2
69,Kyrie Irving,6,2,74,7070730,7.071,2014-15,22,CLE,NBA,53,53,1992,416,892,302,615,114,277,207,245,39,136,175,284,79,16,124,106,1153,0.466,0.491,0.412,0.53,0.845,0.577,37.6,21.8,16.8,3.3,5.4,1.5,0.3
70,Jarrett Jack,6,2,74,6300000,6.300,2014-15,31,BRK,NBA,52,27,1588,253,561,229,465,24,96,125,145,15,159,174,262,59,11,134,104,655,0.451,0.492,0.25,0.472,0.862,0.524,30.5,12.6,10.8,3.3,5,1.1,0.2
71,Reggie Jackson,6,2,74,2204370,2.204,2014-15,24,OKC,NBA,50,13,1398,249,576,205,418,44,158,99,115,28,173,201,214,42,5,91,94,641,0.432,0.49,0.278,0.47,0.861,0.511,28,12.8,11.5,4,4.3,0.8,0.1
72,Nick Johnson,6,2,74,507336,0.507,2014-15,22,HOU,NBA,18,0,185,18,52,13,36,5,16,14,18,7,17,24,6,6,2,12,24,55,0.346,0.361,0.313,0.394,0.778,0.459,10.3,3.1,2.9,1.3,0.3,0.3,0.1
73,Cory Joseph,6,2,74,2023261,2.023,2014-15,23,SAS,NBA,52,14,1152,170,331,157,294,13,37,81,110,38,105,143,141,32,15,50,81,434,0.514,0.534,0.351,0.533,0.736,0.572,22.2,8.3,6.4,2.8,2.7,0.6,0.3
74,Brandon Knight,6,2,74,3553917,3.554,2014-15,23,TOT,NBA,53,52,1713,330,757,225,498,105,259,171,194,26,195,221,286,84,9,169,94,936,0.436,0.452,0.405,0.505,0.881,0.556,32.3,17.7,14.3,4.2,5.4,1.6,0.2
75,Damian Lillard,6,2,74,3340920,3.341,2014-15,24,POR,NBA,54,54,1959,390,900,257,508,133,392,244,283,37,210,247,335,79,16,143,111,1157,0.433,0.506,0.339,0.507,0.862,0.565,36.3,21.4,16.7,4.6,6.2,1.5,0.3
76,Jeremy Lin,6,2,74,8374646,8.375,2014-15,26,LAL,NBA,53,23,1348,188,436,141,309,47,127,127,165,15,112,127,239,57,20,124,141,550,0.431,0.456,0.37,0.485,0.77,0.541,25.4,10.4,8.2,2.4,4.5,1.1,0.4
77,Shelvin Mack,6,2,74,2433333,2.433,2014-15,24,ATL,NBA,32,0,437,57,148,37,83,20,65,15,19,6,40,46,87,13,2,30,17,149,0.385,0.446,0.308,0.453,0.789,0.476,13.7,4.7,4.6,1.4,2.7,0.4,0.1
78,Ray McCallum,6,2,74,816482,0.816,2014-15,23,SAC,NBA,40,2,583,78,185,65,136,13,49,15,22,22,57,79,67,15,6,39,38,184,0.422,0.478,0.265,0.457,0.682,0.473,14.6,4.6,4.6,2,1.7,0.4,0.2
79,Gal Mekel,6,2,74,816482,0.816,2014-15,26,NOP,NBA,4,0,43,3,20,3,17,0,3,0,0,0,1,1,13,2,0,2,1,6,0.15,0.176,0,0.15,,0.15,10.8,1.5,5,0.3,3.3,0.5,0
80,Elfrid Payton,6,2,74,2397840,2.398,2014-15,20,ORL,NBA,57,38,1599,188,442,184,421,4,21,73,134,67,149,216,328,87,10,137,136,453,0.425,0.437,0.19,0.43,0.545,0.452,28.1,7.9,7.8,3.8,5.8,1.5,0.2
81,Pablo Prigioni,6,2,74,1662961,1.663,2014-15,37,TOT,NBA,44,3,799,68,161,25,46,43,115,22,26,18,62,80,105,52,1,47,53,201,0.422,0.543,0.374,0.556,0.846,0.583,18.2,4.6,3.7,1.8,2.4,1.2,0
82,Derrick Rose,6,2,74,18862875,18.863,2014-15,26,CHI,NBA,45,45,1395,315,763,244,519,71,244,137,168,31,108,139,223,31,15,145,58,838,0.413,0.47,0.291,0.459,0.815,0.501,31,18.6,17,3.1,5,0.7,0.3
83,Ramon Sessions,6,2,74,2077000,2.077,2014-15,28,TOT,NBA,37,7,648,63,185,57,157,6,28,64,88,13,56,69,98,14,0,52,45,196,0.341,0.363,0.214,0.357,0.727,0.438,17.5,5.3,5,1.9,2.6,0.4,0
84,Donald Sloan,6,2,74,948163,0.948,2014-15,27,IND,NBA,41,21,984,138,336,99,214,39,122,59,75,12,123,135,171,21,0,57,44,374,0.411,0.463,0.32,0.469,0.787,0.507,24,9.1,8.2,3.3,4.2,0.5,0
85,Beno Udrih,6,2,74,2077000,2.077,2014-15,32,MEM,NBA,51,4,952,160,320,143,250,17,70,59,70,10,79,89,159,33,6,56,62,396,0.5,0.572,0.243,0.527,0.843,0.564,18.7,7.8,6.3,1.7,3.1,0.6,0.1
86,Russell Westbrook,6,2,74,15719062,15.719,2014-15,26,OKC,NBA,41,41,1347,364,839,324,697,40,142,306,364,77,182,259,318,87,6,158,108,1074,0.434,0.465,0.282,0.458,0.841,0.537,32.9,26.2,20.5,6.3,7.8,2.1,0.1
87,Deron Williams,6,2,74,19754465,19.754,2014-15,30,BRK,NBA,39,26,1207,166,431,118,299,48,132,122,148,16,102,118,245,38,12,90,84,502,0.385,0.395,0.364,0.441,0.824,0.506,30.9,12.9,11.1,3,6.3,1,0.3
88,Tony Allen,6,3,75,4831461,4.831,2014-15,33,MEM,NBA,45,36,1134,147,308,141,287,6,21,61,90,66,111,177,68,87,24,59,128,361,0.477,0.491,0.286,0.487,0.678,0.519,25.2,8,6.8,3.9,1.5,1.9,0.5
91,Troy Daniels,6,1,73,816482,0.816,2014-15,23,TOT,NBA,36,0,262,34,106,8,24,26,82,5,6,6,19,25,17,3,0,13,28,99,0.321,0.333,0.317,0.443,0.833,0.456,7.3,2.8,2.9,0.7,0.5,0.1,0
92,Matthew Dellavedova,6,1,73,816482,0.816,2014-15,24,CLE,NBA,41,9,831,61,170,23,76,38,94,17,26,21,51,72,120,13,2,37,102,177,0.359,0.303,0.404,0.471,0.654,0.488,20.3,4.3,4.1,1.8,2.9,0.3,0
93,Wayne Ellington,6,1,73,1063384,1.063,2014-15,27,LAL,NBA,45,20,1030,163,369,107,218,56,151,36,44,19,119,138,58,22,2,27,45,418,0.442,0.491,0.371,0.518,0.818,0.538,22.9,9.3,8.2,3.1,1.3,0.5,0
94,Randy Foye,6,1,73,3135000,3.135,2014-15,31,DEN,NBA,25,0,405,44,141,17,53,27,88,22,27,1,23,24,40,10,6,24,42,137,0.312,0.321,0.307,0.408,0.815,0.448,16.2,5.5,5.6,1,1.6,0.4,0.2
95,Eric Gordon,6,1,73,14898938,14.899,2014-15,26,NOP,NBA,34,34,1116,158,375,87,221,71,154,51,61,15,82,97,131,30,7,69,88,438,0.421,0.394,0.461,0.516,0.836,0.545,32.8,12.9,11,2.9,3.9,0.9,0.2
96,Willie Green,6,1,73,1448490,1.448,2014-15,33,ORL,NBA,36,2,598,73,189,52,124,21,65,18,23,10,41,51,48,16,4,29,52,185,0.386,0.419,0.323,0.442,0.783,0.465,16.6,5.1,5.3,1.4,1.3,0.4,0.1
97,Gary Harris,6,1,73,1519200,1.519,2014-15,20,DEN,NBA,27,0,324,28,105,16,52,12,53,18,25,13,19,32,18,23,4,18,35,86,0.267,0.308,0.226,0.324,0.72,0.371,12,3.2,3.9,1.2,0.7,0.9,0.1
98,Jrue Holiday,6,1,73,9904495,9.904,2014-15,24,NOP,NBA,37,37,1247,226,509,179,381,47,128,63,74,30,100,130,263,60,23,89,103,562,0.444,0.47,0.367,0.49,0.851,0.519,33.7,15.2,13.8,3.5,7.1,1.6,0.6
99,John Jenkins,6,1,73,1312920,1.313,2014-15,23,ATL,NBA,10,0,82,14,28,10,19,4,9,1,1,0,10,10,1,1,0,2,5,33,0.5,0.526,0.444,0.571,1,0.58,8.2,3.3,2.8,1,0.1,0.1,0
100,Tyler Johnson,6,1,73,507336,0.507,2014-15,22,MIA,NBA,10,0,167,22,47,14,34,8,13,10,14,3,18,21,9,8,3,6,12,62,0.468,0.412,0.615,0.553,0.714,0.583,16.7,6.2,4.7,2.1,0.9,0.8,0.3
101,Kendall Marshall,6,1,73,915243,0.915,2014-15,23,MIL,NBA,28,3,417,46,101,28,55,18,46,8,9,2,26,28,86,21,0,35,26,118,0.455,0.509,0.391,0.545,0.889,0.562,14.9,4.2,3.6,1,3.1,0.8,0
102,C.J. McCollum,6,1,73,2421000,2.421,2014-15,23,POR,NBA,39,0,495,68,174,37,97,31,77,28,40,7,34,41,30,21,3,22,37,195,0.391,0.381,0.403,0.48,0.7,0.509,12.7,5,4.5,1.1,0.8,0.5,0.1
103,Jodie Meeks,6,1,73,6000000,6.000,2014-15,27,DET,NBA,33,0,814,128,319,90,192,38,127,89,94,9,47,56,52,34,3,32,50,383,0.401,0.469,0.299,0.461,0.947,0.531,24.7,11.6,9.7,1.7,1.6,1,0.1
104,E'Twaun Moore,6,1,73,948163,0.948,2014-15,25,CHI,NBA,35,0,272,30,70,22,49,8,21,4,8,7,21,28,18,7,3,6,17,72,0.429,0.449,0.381,0.486,0.5,0.49,7.8,2.1,2,0.8,0.5,0.2,0.1
105,Darius Morris,6,1,73,702756,0.703,2014-15,24,BRK,NBA,27,0,236,32,87,25,58,7,29,4,9,4,15,19,32,6,0,15,18,75,0.368,0.431,0.241,0.408,0.444,0.412,8.7,2.8,3.2,0.7,1.2,0.2,0
106,Gary Neal,6,1,73,3250000,3.250,2014-15,30,TOT,NBA,44,0,942,145,402,104,266,41,136,88,102,14,81,95,81,16,1,55,71,419,0.361,0.391,0.301,0.412,0.863,0.469,21.4,9.5,9.1,2.2,1.8,0.4,0
107,Victor Oladipo,6,1,73,4978200,4.978,2014-15,22,ORL,NBA,47,46,1602,290,648,244,509,46,139,159,195,33,158,191,179,74,8,129,119,785,0.448,0.479,0.331,0.483,0.815,0.535,34.1,16.7,13.8,4.1,3.8,1.6,0.2
108,J.J. Redick,6,1,73,6583500,6.584,2014-15,30,LAC,NBA,52,52,1525,261,558,137,274,124,284,121,138,10,85,95,87,22,4,60,89,767,0.468,0.5,0.437,0.579,0.877,0.62,29.3,14.8,10.7,1.8,1.7,0.4,0.1
109,Austin Rivers,6,1,73,2439840,2.440,2014-15,22,TOT,NBA,51,5,1085,138,341,112,255,26,86,61,88,18,77,95,115,33,8,43,92,363,0.405,0.439,0.302,0.443,0.693,0.478,21.3,7.1,6.7,1.9,2.3,0.6,0.2
110,Ricky Rubio,6,1,73,5070686,5.071,2014-15,24,MIN,NBA,11,11,310,43,108,35,88,8,20,24,31,8,49,57,92,16,0,36,37,118,0.398,0.398,0.4,0.435,0.774,0.485,28.2,10.7,9.8,5.2,8.4,1.5,0
111,Marcus Smart,6,1,73,3283320,3.283,2014-15,20,BOS,NBA,38,9,937,86,235,35,86,51,149,44,69,28,85,113,133,48,6,53,98,267,0.366,0.407,0.342,0.474,0.638,0.503,24.7,7,6.2,3,3.5,1.3,0.2
