Rk,Player,Ft,In,Inches,Salary,Salary_M,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,MPG,PPG,FGAPG,RPG,APG,STLPG,BPG
456,Robert Sacre,7,0,84,915243,0.915,2014-15,25,LAL,NBA,48,11,784,89,217,89,217,0,0,37,58,66,104,170,37,19,31,22,86,215,0.41,0.41,,0.41,0.638,0.443,16.3,4.5,4.5,3.5,0.8
457,Jason Smith,7,0,84,3278000,3.278,2014-15,28,NYK,NBA,54,24,1149,176,394,170,381,6,13,74,89,68,138,206,85,19,19,56,136,432,0.447,0.446,0.462,0.454,0.831,0.499,21.3,8.0,7.3,3.8,1.6
458,Nikola Vucevic,7,0,84,2751260,2.751,2014-15,24,ORL,NBA,51,51,1754,436,815,434,812,2,3,125,161,163,415,578,95,32,38,102,156,999,0.535,0.534,0.667,0.536,0.776,0.564,34.4,19.6,16.0,11.3,1.9
459,Hassan Whiteside,7,0,84,769881,0.770,2014-15,25,MIA,NBA,27,12,539,120,191,120,191,0,0,33,60,78,161,239,4,15,66,32,71,273,0.628,0.628,,0.628,0.55,0.628,20.0,10.1,7.1,8.9,0.1
460,Jeff Withey,7,0,84,816482,0.816,2014-15,24,NOP,NBA,29,0,187,23,50,23,50,0,0,26,38,15,29,44,5,2,13,7,21,72,0.46,0.46,,0.46,0.684,0.54,6.4,2.5,1.7,1.5,0.2
461,Cody Zeller,7,0,84,4030560,4.031,2014-15,22,CHO,NBA,52,36,1267,143,314,142,313,1,1,107,142,79,213,292,84,30,45,53,133,394,0.455,0.454,1,0.457,0.754,0.523,24.4,7.6,6.0,5.6,1.6
462,Tyler Zeller,7,0,84,1703760,1.704,2014-15,25,BOS,NBA,52,29,1057,201,361,201,361,0,0,111,134,92,193,285,73,13,36,50,133,513,0.557,0.557,,0.557,0.828,0.611,20.3,9.9,6.9,5.5,1.4
463,Tyson Chandler,7,1,85,14598888,14.599,2014-15,32,DAL,NBA,54,54,1665,223,332,223,332,0,0,131,178,221,422,643,65,31,67,76,119,577,0.672,0.672,,0.672,0.736,0.703,30.8,10.7,6.1,11.9,1.2
464,Marc Gasol,7,1,85,15829688,15.830,2014-15,30,MEM,NBA,53,53,1796,354,721,352,709,2,12,258,315,77,350,427,197,46,89,116,134,968,0.491,0.496,0.167,0.492,0.819,0.563,33.9,18.3,13.6,8.1,3.7
465,Rudy Gobert,7,1,85,1127400,1.127,2014-15,22,UTA,NBA,54,9,1184,143,227,143,225,0,2,82,134,144,250,394,59,36,120,59,118,368,0.63,0.636,0,0.63,0.612,0.643,21.9,6.8,4.2,7.3,1.1
466,Ognjen Kuzmic,7,1,85,816482,0.816,2014-15,24,GSW,NBA,16,0,72,8,12,8,12,0,0,4,4,7,10,17,6,2,1,5,13,20,0.667,0.667,,0.667,1,0.727,4.5,1.3,0.8,1.1,0.4
467,Alex Len,7,1,85,3649920,3.650,2014-15,21,PHO,NBA,53,28,1110,138,251,137,248,1,3,57,79,107,220,327,22,28,85,54,163,334,0.55,0.552,0.333,0.552,0.722,0.584,20.9,6.3,4.7,6.2,0.4
468,Meyers Leonard,7,1,85,2317920,2.318,2014-15,22,POR,NBA,32,3,504,71,135,44,71,27,64,19,21,29,118,147,16,7,8,19,68,188,0.526,0.62,0.422,0.626,0.905,0.652,15.8,5.9,4.2,4.6,0.5
469,Timofey Mozgov,7,1,85,4650000,4.650,2014-15,28,TOT,NBA,55,54,1441,204,380,202,374,2,6,100,142,152,287,439,29,24,73,72,172,510,0.537,0.54,0.333,0.539,0.704,0.576,26.2,9.3,6.9,8.0,0.5
470,Roy Hibbert,7,2,86,14898938,14.899,2014-15,28,IND,NBA,51,51,1304,226,496,226,495,0,1,113,137,99,265,364,63,9,90,80,150,565,0.456,0.457,0,0.456,0.825,0.508,25.6,11.1,9.7,7.1,1.2
